,instrument_token,symbol,margin
0,975873,ZEEL,5.0
1,3050241,YESBANK,3.0
2,2889473,UPL,12.5
3,2952193,ULTRACEMCO,12.5
4,2170625,TVSMOTOR,12.5
5,897537,TITAN,12.5
6,3465729,TECHM,12.5
7,2953217,TCS,12.5
8,895745,TATASTEEL,12.5
9,884737,TATAMOTORS,3.0
10,3431425,SUNTV,11.0
11,857857,SUNPHARMA,9.0
12,1887745,STAR,3.0
13,779521,SBIN,12.5
14,784129,VEDL,5.0
15,141569,RELINFRA,5.0
16,617473,PEL,12.5
17,3689729,PAGEIND,12.5
18,1102337,SRTRANSFIN,11.0
19,633601,ONGC,12.5
20,2977281,NTPC,12.5
21,2955009,NIITTECH,12.5
22,3675137,MINDTREE,12.5
23,2674433,MCDOWELL-N,12.5
24,2815745,MARUTI,12.5
25,737793,RELCAPITAL,5.0
26,519937,M&M,12.5
27,2939649,LT,12.5
28,511233,LICHSGFIN,12.5
29,4632577,JUBLFOOD,5.0
30,3001089,JSWSTEEL,12.5
31,1723649,JINDALSTEL,11.0
32,2997505,JETAIRWAYS,5.9
33,4598529,NESTLEIND,12.5
34,415745,IOC,8.3
35,408065,INFY,12.5
36,7458561,INFRATEL,12.5
37,359937,HINDPETRO,9.0
38,341249,HDFCBANK,12.5
39,2513665,HAVELLS,12.5
40,315393,GRASIM,12.5
41,2585345,GODREJCP,12.5
42,492033,KOTAKBANK,12.5
43,1207553,GAIL,12.5
44,245249,ESCORTS,12.5
45,2763265,CANBK,12.5
46,2714625,BHARTIARTL,5.0
47,101121,BEML,12.5
48,94977,BATAINDIA,12.5
49,1214721,BANKINDIA,3.0
50,1195009,BANKBARODA,12.5
51,81153,BAJFINANCE,12.5
52,4268801,BAJAJFINSV,12.5
53,4267265,BAJAJ-AUTO,12.5
54,969473,WIPRO,12.5
55,2911489,BIOCON,12.5
56,140033,BRITANNIA,12.5
57,2865921,INDIGO,10.0
58,1270529,ICICIBANK,12.5
59,7712001,IBULHSGFIN,6.3
60,356865,HINDUNILVR,12.5
61,1510401,AXISBANK,12.5
62,70401,AUROPHARMA,12.5
63,60417,ASIANPAINT,12.5
64,54273,ASHOKLEY,12.5
65,40193,APOLLOHOSP,5.0
66,5633,ACC,12.5
67,348929,HINDALCO,12.5
68,345089,HEROMOTOCO,12.5
69,232961,EICHERMOT,12.5
70,3861249,ADANIPORTS,5.0
71,225537,DRREDDY,5.0
72,3771393,DLF,8.3
73,2800641,DIVISLAB,8.3
74,3721473,DISHTV,3.0
75,215553,DHFL,4.0
76,197633,DABUR,12.5
77,177665,CIPLA,12.5
78,5215745,COALINDIA,12.5
79,738561,RELIANCE,12.5
80,2672641,LUPIN,12.5
81,3834113,POWERGRID,12.5
82,2730497,PNB,12.5
83,340481,HDFC,12.5
84,1850625,HCLTECH,12.5
85,3832833,KSCL,5.0
86,424961,ITC,12.5
87,1346049,INDUSINDBK,12.5
88,134657,BPCL,12.5
